,project_id,foiv,7.1,7.1_other,14.2,14.3,14.4,7.2,7.2_other,7.1.6_total_once,7.1.6_total_regular,7.1.6_total_benefit_once,7.1.6_total_benefit_regular,9.5,9.6,9.7,2.1
76,99620,Минэнерго России,actor_general,cit_action,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
77,98998,Минфин России,actor_general,foiv_no_action,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
78,98150,Минфин России,cit_action,no_info,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
79,99288,ФАС России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
80,97312,Ростехнадзор,foiv_cit_no_action,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
81,98701,МЧС России,actor_general,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
82,99627,Минстрой России,cit_no_action,cit_no_action,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
83,100890,Минсельхоз России,no_info,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
84,106194,Минсельхоз России,actor_specific,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
85,97116,Минтруд России,actor_general,mystery,valid,invalid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
86,98398,Минкомсвязь России,actor_specific,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
87,101513,Минсельхоз России,cit_no_action,mystery,valid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
88,101345,Минэкономразвития России,foiv_cit_no_action,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
89,97129,Минтруд России,actor_general,mystery,valid,invalid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
90,99281,Минприроды России,mystery,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
91,97581,Минтранс России,foiv_cit_no_action,no_info,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
92,97581,Минтранс России,foiv_cit_no_action,no_info,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
93,98991,Минфин России,foiv_cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
94,102533,Минтранс России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
95,98192,Минстрой России,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
96,101973,Минфин России,mystery,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
97,101987,Минобрнауки России,foiv_cit_no_action,no_info,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
98,97778,Минкомсвязь России,actor_specific,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
99,99014,Минфин России,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
100,91877,Минприроды России,cit_action,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
101,100459,Минсельхоз России,actor_general,foiv_no_action,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
