regulation_project_id;public_discussion_end
22988;29.03.2015 00:00:00
22852;21.03.2015 00:00:00
24221;06.05.2015 23:59:00
24179;12.05.2015 00:00:00
25890;07.11.2015 23:00:00
21963;10.01.2015 00:00:00
24265;07.05.2015 00:00:00
24511;06.06.2015 23:59:00
24588;24.07.2015 00:00:00
3362;08.11.2013 00:00:00
24538;20.05.2015 00:00:00
14810;23.05.2014 00:00:00
24737;23.12.2015 00:00:00
24835;17.01.2016 23:00:00
20358;29.11.2014 00:00:00
25179;13.06.2015 00:00:00
25195;21.10.2015 23:00:00
3371;03.07.2013 00:00:00
25303;08.07.2015 00:00:00
25994;08.07.2015 00:00:00
26070;05.07.2015 00:00:00
26098;26.07.2015 00:00:00
26066;15.08.2015 00:00:00
26190;10.09.2015 23:00:00
16198;16.07.2014 00:00:00
16960;14.11.2015 23:00:00
23305;
21603;
8921;18.11.2013 00:00:00
7336;03.10.2013 00:00:00
13563;
26003;12.10.2015 23:00:00
8903;18.11.2013 00:00:00
7328;02.10.2013 00:00:00
7264;07.12.2013 00:00:00
13580;11.04.2014 00:00:00
18007;15.09.2014 00:00:00
8857;
7311;03.10.2013 00:00:00
9149;
7248;28.09.2013 00:00:00
26221;26.06.2015 00:00:00
16233;17.07.2014 00:00:00
26279;09.09.2015 23:00:00
23431;
14430;09.05.2014 00:00:00
16167;10.12.2014 00:00:00
26392;14.08.2015 23:00:00
27165;12.10.2015 23:00:00
22867;22.03.2015 00:00:00
27121;30.10.2015 23:00:00
27080;18.08.2015 23:00:00
27033;30.08.2018 23:00:00
19609;20.08.2015 23:00:00
38140;07.08.2015 23:00:00
38143;
38147;07.08.2015 23:00:00
27019;12.08.2015 23:00:00
38150;07.08.2015 23:00:00
38151;07.08.2015 23:00:00
26966;24.11.2015 23:00:00
38180;07.08.2015 23:00:00
26842;15.10.2015 23:00:00
38181;15.11.2015 00:00:00
26771;13.10.2015 23:00:00
26843;21.07.2015 23:00:00
26627;10.09.2015 23:00:00
38190;07.08.2015 23:00:00
19563;07.08.2015 23:00:00
42178;26.11.2015 23:00:00
38238;10.08.2015 23:00:00
21389;20.08.2015 00:00:00
39926;25.09.2015 23:00:00
21590;23.10.2015 23:00:00
39939;25.09.2015 23:00:00
39945;
21656;21.10.2015 23:00:00
37309;16.09.2015 23:00:00
37316;12.08.2015 23:00:00
37407;26.10.2015 23:00:00
39952;25.10.2015 23:00:00
11780;15.03.2014 00:00:00
37496;21.12.2015 23:00:00
37517;11.08.2015 23:00:00
37540;22.09.2015 23:00:00
37544;07.10.2015 23:00:00
40015;
39220;16.09.2015 23:00:00
66802;03.08.2017 23:00:00
38324;15.10.2015 23:00:00
39536;07.10.2015 23:00:00
40047;29.09.2015 23:00:00
40060;29.09.2015 23:00:00
38894;09.12.2015 23:00:00
40090;30.09.2015 23:00:00
40109;15.10.2015 00:00:00
38981;09.11.2015 23:00:00
39075;16.10.2015 23:00:00
39081;29.12.2015 23:00:00
39088;08.05.2018 23:00:00
39159;18.11.2015 23:00:00
39175;21.09.2015 23:00:00
39264;01.10.2015 23:00:00
39276;28.12.2015 23:00:00
39185;01.09.2015 23:00:00
39339;05.10.2015 23:00:00
42242;27.11.2015 23:00:00
40058;12.01.2016 23:00:00
39670;17.12.2015 23:00:00
39724;16.11.2015 23:00:00
39729;29.10.2015 23:00:00
39760;30.03.2017 23:00:00
39881;26.10.2015 23:00:00
39946;26.10.2015 23:00:00
40098;16.03.2016 23:00:00
4410;29.10.2013 23:59:00
40218;23.12.2015 23:00:00
42349;25.12.2015 23:00:00
40496;14.04.2016 23:00:00
40551;19.11.2015 23:00:00
40553;12.11.2015 23:00:00
40607;03.10.2016 23:00:00
40673;01.06.2016 23:00:00
40677;28.12.2015 23:00:00
40678;09.03.2016 23:00:00
40694;16.01.2017 23:00:00
42623;21.01.2016 23:00:00
40743;29.09.2016 23:00:00
40886;09.11.2015 23:00:00
40901;10.11.2015 23:00:00
40902;09.11.2015 23:00:00
40907;09.11.2015 23:00:00
40949;27.09.2016 23:00:00
41076;16.12.2015 23:00:00
41077;02.02.2016 23:00:00
41122;24.11.2015 23:00:00
41143;08.06.2016 23:00:00
41147;09.12.2015 23:00:00
41156;15.01.2016 01:00:00
41342;29.03.2016 23:00:00
45477;
41361;07.12.2015 23:00:00
41584;28.12.2015 23:00:00
45496;05.02.2016 23:00:00
41751;13.01.2016 23:00:00
41826;10.03.2016 23:00:00
42049;02.02.2016 23:00:00
42159;29.12.2015 23:00:00
42173;16.09.2016 23:00:00
42254;12.01.2016 23:00:00
45617;04.03.2016 23:00:00
42562;12.12.2016 23:00:00
42397;11.02.2016 23:00:00
42817;14.06.2016 23:00:00
45554;25.03.2016 23:00:00
42660;22.12.2015 23:00:00
42889;03.02.2016 23:00:00
45568;08.02.2016 23:00:00
42814;27.02.2016 23:00:00
45573;09.02.2016 23:00:00
42885;01.02.2016 23:00:00
42906;24.02.2016 23:00:00
43066;21.03.2016 23:00:00
47040;30.03.2016 23:00:00
44236;09.06.2016 23:00:00
44312;26.01.2016 23:00:00
44350;21.03.2016 23:00:00
44359;21.03.2016 23:00:00
44897;08.02.2016 23:00:00
44455;26.01.2016 23:00:00
44479;26.01.2016 23:00:00
47083;29.04.2016 23:00:00
44635;22.03.2016 23:00:00
44904;01.03.2016 23:00:00
44694;29.01.2016 23:00:00
47089;31.03.2016 23:00:00
44910;28.03.2017 23:00:00
47112;01.04.2016 23:00:00
44999;09.02.2016 23:00:00
47123;01.04.2016 23:00:00
47128;16.11.2016 23:00:00
45070;11.02.2016 23:00:00
45118;15.03.2016 23:00:00
45149;25.02.2016 23:00:00
45586;24.02.2016 23:00:00
47144;04.04.2016 23:00:00
47154;04.04.2016 23:00:00
47167;20.05.2016 00:00:00
45495;04.03.2016 23:00:00
47050;05.07.2016 23:00:00
47058;05.05.2016 23:00:00
45603;06.05.2016 23:00:00
47206;20.05.2016 23:00:00
45771;01.03.2016 23:00:00
45791;31.05.2016 23:00:00
47211;24.05.2016 00:00:00
45948;22.03.2016 23:00:00
45971;17.03.2016 23:00:00
45997;12.05.2016 23:00:00
47113;10.05.2016 23:00:00
46129;21.04.2016 23:00:00
48929;23.06.2016 23:00:00
48931;02.06.2016 23:00:00
46316;21.03.2016 23:00:00
48953;02.06.2016 23:00:00
46398;10.10.2017 23:00:00
46494;15.04.2016 00:00:00
46586;02.02.2017 23:00:00
46642;01.04.2016 23:00:00
46654;01.09.2016 23:00:00
47210;20.07.2016 23:00:00
46833;25.05.2016 01:00:00
47209;11.04.2016 23:00:00
46853;22.04.2016 00:00:00
48997;20.07.2016 23:00:00
48998;20.07.2016 23:00:00
46905;27.04.2016 23:00:00
46913;12.05.2016 23:00:00
46922;22.02.2017 23:00:00
47004;04.05.2016 23:00:00
47025;31.05.2016 23:00:00
47033;17.06.2016 23:00:00
47202;13.05.2016 23:00:00
47233;11.05.2016 23:00:00
47235;12.05.2016 23:00:00
47255;10.08.2016 23:00:00
47258;29.06.2016 23:00:00
49134;06.06.2016 23:00:00
47439;12.05.2016 23:00:00
47411;19.09.2016 23:00:00
48965;12.12.2016 23:00:00
48935;30.06.2016 23:00:00
47587;29.03.2017 23:00:00
47656;26.05.2016 23:00:00
47657;24.08.2016 23:00:00
47716;28.06.2016 23:00:00
47662;12.10.2016 23:00:00
47663;15.07.2016 23:00:00
47668;28.07.2016 23:00:00
48992;29.08.2016 23:00:00
47819;04.07.2016 23:00:00
47883;21.02.2019 23:00:00
47909;03.06.2016 23:00:00
53173;12.09.2016 23:00:00
48040;10.06.2016 23:00:00
48101;16.06.2016 23:00:00
48391;01.08.2017 23:00:00
48176;25.05.2016 23:00:00
48292;10.02.2017 23:00:00
52659;
52663;26.08.2016 23:00:00
48435;02.06.2016 23:00:00
48567;01.06.2016 23:00:00
48607;20.06.2016 23:00:00
52691;26.08.2016 23:00:00
52692;26.08.2016 23:00:00
48728;26.08.2016 23:00:00
48895;17.08.2016 23:00:00
48896;21.06.2016 23:00:00
48927;06.09.2016 23:00:00
48961;08.09.2017 23:00:00
49152;01.08.2016 23:00:00
52713;14.09.2016 23:00:00
52607;19.05.2017 23:00:00
52723;
49314;02.12.2016 23:00:00
49957;03.08.2016 23:00:00
52623;10.04.2017 23:00:00
52757;01.10.2016 23:00:00
49619;20.07.2016 23:00:00
49676;08.07.2016 23:00:00
52648;25.08.2016 23:00:00
49800;16.09.2016 23:00:00
50215;17.02.2018 00:00:00
50017;16.11.2016 23:00:00
50029;20.07.2016 23:00:00
50271;31.10.2016 23:00:00
52772;14.10.2016 23:00:00
50101;21.09.2016 23:00:00
50178;14.10.2016 23:00:00
57498;15.11.2016 23:00:00
50287;30.09.2016 23:00:00
50335;05.09.2016 23:00:00
52677;27.10.2016 23:00:00
52684;26.09.2016 23:00:00
91227;31.05.2019 23:00:00
57373;10.11.2016 23:00:00
50475;26.12.2016 23:00:00
50481;09.11.2016 23:00:00
50590;19.10.2016 23:00:00
50603;23.05.2017 23:00:00
50625;09.08.2016 23:00:00
50628;10.10.2016 23:00:00
57382;04.01.2017 23:00:00
50667;15.09.2016 23:00:00
50791;22.08.2016 23:00:00
50821;30.09.2016 23:00:00
50928;30.08.2016 23:00:00
50986;17.10.2016 23:00:00
50987;02.09.2016 23:00:00
50991;05.08.2016 23:00:00
51158;19.09.2016 23:00:00
52485;18.01.2017 23:00:00
52746;12.09.2016 23:00:00
51423;01.09.2016 23:00:00
51450;03.07.2017 23:00:00
55731;07.11.2016 23:00:00
52615;22.02.2017 00:00:00
52558;30.08.2016 23:00:00
57460;15.11.2016 23:00:00
52580;18.01.2017 23:00:00
52731;12.09.2016 23:00:00
14754;
52754;13.08.2018 23:00:00
52776;18.10.2016 23:00:00
52778;16.11.2016 23:00:00
52783;18.04.2017 23:00:00
57476;
52953;21.09.2016 23:00:00
57491;15.11.2016 23:00:00
53135;22.09.2016 23:00:00
53176;30.09.2016 23:00:00
53255;01.11.2016 23:00:00
53308;10.07.2017 23:00:00
53386;03.10.2016 23:00:00
53390;06.10.2016 23:00:00
54700;22.02.2017 23:00:00
57395;28.11.2016 23:00:00
54845;02.11.2016 23:00:00
68274;14.08.2017 23:00:00
54897;11.10.2016 23:00:00
57406;16.12.2016 23:00:00
54970;28.11.2019 23:59:00
55283;18.01.2017 23:00:00
55604;01.11.2016 23:00:00
55668;02.11.2016 23:00:00
55527;05.12.2016 23:00:00
55732;29.12.2016 23:00:00
55910;21.12.2016 23:00:00
55912;24.11.2016 23:00:00
55930;09.01.2017 00:00:00
56026;30.11.2016 23:00:00
56112;16.11.2016 23:00:00
56336;30.06.2017 23:00:00
56342;29.12.2016 23:00:00
25014;15.05.2015 00:00:00
61025;25.01.2017 23:00:00
59098;14.12.2016 23:00:00
61686;06.04.2017 23:00:00
60861;13.03.2017 23:00:00
63045;14.05.2017 23:00:00
63052;30.03.2017 23:00:00
63054;14.05.2017 23:00:00
63058;14.05.2017 23:00:00
63059;26.05.2017 23:00:00
64666;17.05.2017 23:00:00
59055;27.01.2017 23:00:00
59063;13.01.2017 23:00:00
59617;26.01.2017 23:00:00
60901;28.12.2017 23:00:00
59297;06.12.2016 23:00:00
59354;05.12.2016 23:00:00
59359;16.01.2017 23:00:00
59505;08.12.2016 23:00:00
59828;21.03.2017 23:00:00
60698;06.03.2017 23:00:00
61087;09.02.2017 23:00:00
63131;03.04.2017 23:00:00
63260;20.05.2017 23:00:00
59747;08.02.2017 23:00:00
60099;02.02.2017 23:00:00
59925;12.01.2017 23:00:00
60012;05.04.2017 23:00:00
60042;07.02.2017 23:00:00
60068;21.12.2016 23:00:00
60544;26.01.2017 23:00:00
63262;05.04.2017 23:00:00
60152;21.03.2017 23:00:00
60402;28.02.2017 23:00:00
60492;10.01.2019 23:00:00
60475;09.01.2017 23:00:00
63165;10.05.2017 23:00:00
61009;21.06.2017 23:00:00
63166;
60733;30.01.2017 23:00:00
61021;07.03.2017 23:00:00
63176;
63177;01.06.2017 23:00:00
63193;05.04.2017 23:00:00
60819;14.03.2017 23:00:00
60897;10.03.2017 23:00:00
63204;29.06.2017 23:00:00
61005;24.04.2017 23:00:00
63211;04.04.2017 23:00:00
61155;05.04.2017 23:00:00
66257;01.06.2017 23:00:00
61470;23.05.2017 23:00:00
61348;30.03.2017 23:00:00
61381;20.06.2017 23:00:00
63242;04.04.2017 23:00:00
61382;13.02.2017 23:00:00
61478;22.02.2017 23:00:00
61482;21.02.2017 23:00:00
66282;01.06.2017 23:00:00
66308;
61714;07.04.2017 23:00:00
61822;06.03.2017 23:00:00
66333;
61890;02.07.2018 23:00:00
61917;02.06.2017 23:00:00
61949;20.02.2017 23:00:00
66347;05.06.2017 23:00:00
64106;19.06.2017 23:00:00
62000;19.05.2017 23:00:00
62203;20.03.2017 23:00:00
62253;16.03.2017 23:00:00
62349;03.03.2017 23:00:00
62518;20.11.2017 23:00:00
62592;25.07.2017 23:00:00
63190;13.07.2017 23:00:00
62695;26.05.2017 23:00:00
62701;05.07.2017 23:00:00
62756;28.11.2017 23:00:00
66424;
62911;14.06.2017 23:00:00
63244;25.08.2017 23:00:00
62936;10.05.2017 23:00:00
66255;28.07.2017 23:00:00
63201;12.05.2017 23:00:00
63235;10.05.2017 23:00:00
66279;15.06.2017 23:00:00
63513;13.04.2017 23:00:00
63515;17.05.2017 23:00:00
63520;17.05.2017 23:00:00
69845;28.09.2017 23:00:00
63615;28.04.2017 23:00:00
63693;25.05.2017 23:00:00
63710;13.10.2017 23:00:00
63740;12.05.2017 23:00:00
67411;12.09.2017 23:00:00
63834;12.05.2017 23:00:00
69855;09.10.2017 23:00:00
63994;16.05.2017 23:00:00
64013;11.03.2020 23:59:00
64014;21.05.2017 00:00:00
64057;22.06.2017 23:00:00
70162;08.09.2017 23:00:00
64180;22.06.2017 23:00:00
64219;13.06.2017 23:00:00
64363;17.07.2017 23:00:00
64464;31.05.2017 23:00:00
64466;08.06.2017 23:00:00
64469;08.06.2017 23:00:00
69908;16.08.2017 23:00:00
69940;13.11.2017 23:00:00
65823;19.09.2018 23:00:00
69946;23.08.2017 23:00:00
65854;11.07.2017 23:00:00
66059;24.07.2017 23:00:00
65996;01.09.2017 23:00:00
65999;01.09.2017 23:00:00
66001;26.06.2017 23:00:00
69980;04.09.2017 23:00:00
66254;28.07.2017 23:00:00
74582;13.11.2017 23:00:00
74583;13.11.2017 23:00:00
66302;11.08.2017 23:00:00
69770;17.08.2017 23:00:00
74593;28.11.2017 23:00:00
74598;
66400;23.04.2018 23:00:00
66415;04.09.2017 23:00:00
66469;26.04.2018 23:00:00
66661;11.09.2017 23:00:00
74628;14.11.2017 23:00:00
66652;24.10.2017 23:00:00
74634;12.02.2018 23:00:00
71482;12.09.2017 23:00:00
66903;22.12.2017 23:00:00
66959;25.09.2017 23:00:00
74658;
67065;08.08.2017 23:00:00
67088;07.08.2017 23:00:00
67125;27.06.2017 23:00:00
67161;11.07.2017 23:00:00
67418;12.09.2017 23:00:00
69847;18.08.2017 23:00:00
67249;01.09.2017 23:00:00
67472;20.07.2017 23:00:00
74676;15.11.2017 23:00:00
74749;17.11.2017 23:00:00
67512;01.12.2017 23:00:00
67569;19.07.2017 23:00:00
67658;07.09.2017 23:00:00
67764;15.09.2017 23:00:00
67773;21.08.2017 23:00:00
67812;02.08.2017 23:00:00
67984;21.11.2017 23:00:00
69892;14.08.2017 23:00:00
69906;22.08.2017 23:00:00
69907;18.05.2018 23:00:00
69844;18.08.2017 23:00:00
68429;14.08.2017 23:00:00
79454;31.05.2018 23:00:00
73793;21.03.2018 23:00:00
69508;15.11.2017 23:00:00
69520;08.08.2017 23:00:00
69602;02.02.2018 23:00:00
74710;07.12.2017 23:00:00
69955;23.08.2017 23:00:00
69659;14.08.2017 23:00:00
69751;03.09.2018 23:00:00
69769;17.08.2017 23:00:00
69975;04.09.2017 23:00:00
74752;17.11.2017 23:00:00
73972;20.02.2018 23:00:00
70040;18.09.2017 23:00:00
70110;14.06.2018 23:00:00
70118;30.08.2017 23:00:00
70222;01.09.2017 23:00:00
70178;31.08.2017 23:00:00
74723;16.11.2017 23:00:00
71277;11.09.2017 23:00:00
71333;01.11.2017 23:00:00
74221;02.09.2021 23:59:00
74730;16.11.2017 23:00:00
71422;29.05.2018 23:59:00
71430;11.09.2017 23:00:00
71434;04.09.2017 23:00:00
71435;22.02.2018 23:00:00
71483;12.09.2017 23:00:00
72798;27.11.2017 23:00:00
72573;07.09.2017 23:00:00
72581;14.09.2017 23:00:00
